product_id,product_name,category,price
1,Product_1,utilities,1607261
2,Product_2,furniture,1246607
3,Product_3,groceries,1986808
4,Product_4,furniture,988021
5,Product_5,furniture,1187756
6,Product_6,fashion,86234
7,Product_7,groceries,1632818
8,Product_8,groceries,198352
9,Product_9,groceries,1148035
10,Product_10,furniture,429995
11,Product_11,utilities,215004
12,Product_12,groceries,486152
13,Product_13,furniture,1793832
14,Product_14,fashion,1127739
15,Product_15,utilities,1544429
16,Product_16,fashion,71934
17,Product_17,utilities,1788831
18,Product_18,furniture,445523
19,Product_19,electronics,860530
20,Product_20,utilities,1522713
21,Product_21,fashion,25486
22,Product_22,furniture,1207983
23,Product_23,utilities,893332
24,Product_24,electronics,1718884
25,Product_25,electronics,1059458
26,Product_26,groceries,1695659
27,Product_27,groceries,240184
28,Product_28,fashion,686490
29,Product_29,utilities,1418228
30,Product_30,utilities,1829891
31,Product_31,groceries,1711188
32,Product_32,utilities,342710
33,Product_33,utilities,217775
34,Product_34,electronics,309336
35,Product_35,groceries,807494
36,Product_36,furniture,1676940
37,Product_37,groceries,1158356
38,Product_38,furniture,1221193
39,Product_39,electronics,565977
40,Product_40,fashion,1866182
41,Product_41,utilities,1419181
42,Product_42,electronics,932606
43,Product_43,utilities,909465
44,Product_44,fashion,553636
45,Product_45,fashion,961218
46,Product_46,electronics,58102
47,Product_47,fashion,94460
48,Product_48,furniture,1433354
49,Product_49,fashion,1158506
50,Product_50,utilities,1599665
51,Product_51,utilities,1696014
52,Product_52,utilities,1796203
53,Product_53,utilities,199208
54,Product_54,furniture,1223273
55,Product_55,groceries,233945
56,Product_56,electronics,251915
57,Product_57,utilities,747952
58,Product_58,fashion,228124
59,Product_59,utilities,457477
60,Product_60,fashion,545830
61,Product_61,fashion,1352397
62,Product_62,utilities,1246380
63,Product_63,furniture,1774279
64,Product_64,fashion,59081
65,Product_65,fashion,738216
66,Product_66,utilities,375249
67,Product_67,fashion,1288506
68,Product_68,fashion,825497
69,Product_69,utilities,537313
70,Product_70,utilities,1283108
71,Product_71,electronics,632380
72,Product_72,furniture,1587908
73,Product_73,furniture,1385413
74,Product_74,fashion,1357682
75,Product_75,furniture,1096871
76,Product_76,fashion,1082383
77,Product_77,electronics,1504140
78,Product_78,utilities,177504
79,Product_79,utilities,1306643
80,Product_80,utilities,1553584
81,Product_81,furniture,712440
82,Product_82,electronics,414540
83,Product_83,furniture,1946275
84,Product_84,furniture,537923
85,Product_85,electronics,1235557
86,Product_86,electronics,764699
87,Product_87,electronics,39870
88,Product_88,electronics,972082
89,Product_89,utilities,1271772
90,Product_90,groceries,268683
91,Product_91,groceries,1303253
92,Product_92,electronics,46790
93,Product_93,groceries,1711738
94,Product_94,groceries,831721
95,Product_95,electronics,468345
96,Product_96,groceries,769074
97,Product_97,furniture,1556038
98,Product_98,fashion,1608349
99,Product_99,fashion,1899490
100,Product_100,electronics,1154764
101,Product_101,utilities,549036
102,Product_102,electronics,1810705
103,Product_103,utilities,1733371
104,Product_104,fashion,810141
105,Product_105,electronics,668249
106,Product_106,furniture,1098931
107,Product_107,groceries,731131
108,Product_108,utilities,471015
109,Product_109,groceries,1474908
110,Product_110,groceries,176542
111,Product_111,electronics,1241992
112,Product_112,groceries,325062
113,Product_113,furniture,1907232
114,Product_114,groceries,1632162
115,Product_115,electronics,1570284
116,Product_116,furniture,886651
117,Product_117,fashion,1130205
118,Product_118,groceries,1396760
119,Product_119,electronics,1561310
120,Product_120,fashion,775195
121,Product_121,fashion,310160
122,Product_122,utilities,1616824
123,Product_123,furniture,1888599
124,Product_124,groceries,233920
125,Product_125,electronics,1958341
126,Product_126,utilities,1311380
127,Product_127,furniture,1445541
128,Product_128,utilities,1529433
129,Product_129,furniture,1891403
130,Product_130,furniture,1573068
131,Product_131,groceries,673983
132,Product_132,furniture,1484492
133,Product_133,utilities,841052
134,Product_134,furniture,1827150
135,Product_135,groceries,148148
136,Product_136,groceries,1875567
137,Product_137,utilities,1554837
138,Product_138,fashion,1424116
139,Product_139,fashion,1261290
140,Product_140,furniture,751899
141,Product_141,electronics,303876
142,Product_142,furniture,279747
143,Product_143,utilities,635650
144,Product_144,utilities,443570
145,Product_145,utilities,295987
146,Product_146,utilities,1047512
147,Product_147,utilities,658353
148,Product_148,groceries,878158
149,Product_149,fashion,37640
150,Product_150,utilities,72528
151,Product_151,electronics,1893421
152,Product_152,electronics,279214
153,Product_153,electronics,1907646
154,Product_154,electronics,990240
155,Product_155,groceries,521108
156,Product_156,electronics,654421
157,Product_157,utilities,1437077
158,Product_158,furniture,1792802
159,Product_159,electronics,1218735
160,Product_160,groceries,1241078
161,Product_161,groceries,175576
162,Product_162,electronics,944618
163,Product_163,furniture,885291
164,Product_164,electronics,906089
165,Product_165,groceries,948479
166,Product_166,fashion,1079599
167,Product_167,utilities,565735
168,Product_168,groceries,408043
169,Product_169,electronics,1354679
170,Product_170,utilities,86203
171,Product_171,electronics,925588
172,Product_172,electronics,180775
173,Product_173,fashion,1077913
174,Product_174,utilities,590715
175,Product_175,utilities,1583299
176,Product_176,fashion,1392249
177,Product_177,groceries,384167
178,Product_178,electronics,1415385
179,Product_179,furniture,1698651
180,Product_180,electronics,707281
181,Product_181,electronics,1364027
182,Product_182,groceries,440571
183,Product_183,electronics,1195592
184,Product_184,fashion,811267
185,Product_185,fashion,1613023
186,Product_186,utilities,517562
187,Product_187,furniture,1771541
188,Product_188,electronics,403934
189,Product_189,electronics,1960624
190,Product_190,groceries,1933760
191,Product_191,fashion,337428
192,Product_192,furniture,1387763
193,Product_193,utilities,1062892
194,Product_194,fashion,710907
195,Product_195,utilities,1952015
196,Product_196,groceries,102844
197,Product_197,groceries,1620396
198,Product_198,electronics,1233997
199,Product_199,furniture,142402
200,Product_200,utilities,1186588
201,Product_201,fashion,458661
202,Product_202,groceries,418929
203,Product_203,electronics,600466
204,Product_204,electronics,593695
205,Product_205,utilities,483556
206,Product_206,groceries,595278
207,Product_207,furniture,1013176
208,Product_208,groceries,1198049
209,Product_209,utilities,1003049
210,Product_210,utilities,498007
211,Product_211,groceries,864573
212,Product_212,utilities,1485585
213,Product_213,groceries,1387290
214,Product_214,fashion,1294732
215,Product_215,groceries,1237540
216,Product_216,groceries,545303
217,Product_217,utilities,1130389
218,Product_218,utilities,47712
219,Product_219,electronics,1693361
220,Product_220,electronics,1994495
221,Product_221,fashion,1835790
222,Product_222,electronics,132816
223,Product_223,groceries,1197354
224,Product_224,utilities,1655156
225,Product_225,electronics,305977
226,Product_226,electronics,155230
227,Product_227,fashion,1786616
228,Product_228,fashion,826741
229,Product_229,groceries,289114
230,Product_230,utilities,1403194
231,Product_231,fashion,1024208
232,Product_232,electronics,1901548
233,Product_233,utilities,171456
234,Product_234,utilities,1873025
235,Product_235,electronics,882312
236,Product_236,fashion,1174146
237,Product_237,electronics,290846
238,Product_238,utilities,1986464
239,Product_239,furniture,20404
240,Product_240,furniture,978447
241,Product_241,groceries,723286
242,Product_242,electronics,1343483
243,Product_243,electronics,1742320
244,Product_244,groceries,735460
245,Product_245,groceries,904574
246,Product_246,groceries,1733796
247,Product_247,utilities,255365
248,Product_248,electronics,362786
249,Product_249,utilities,1119188
250,Product_250,groceries,830006
251,Product_251,electronics,1878532
252,Product_252,utilities,220244
253,Product_253,utilities,1865924
254,Product_254,groceries,1073385
255,Product_255,electronics,183273
256,Product_256,groceries,1777266
257,Product_257,electronics,1213104
258,Product_258,furniture,1575540
259,Product_259,fashion,1518189
260,Product_260,fashion,1976296
261,Product_261,fashion,1107341
262,Product_262,groceries,1900114
263,Product_263,furniture,1384652
264,Product_264,electronics,954604
265,Product_265,utilities,863523
266,Product_266,electronics,566237
267,Product_267,utilities,1269728
268,Product_268,electronics,1368464
269,Product_269,furniture,720903
270,Product_270,utilities,1963327
271,Product_271,groceries,112193
272,Product_272,electronics,1104763
273,Product_273,electronics,525950
274,Product_274,utilities,1206887
275,Product_275,groceries,930886
276,Product_276,groceries,820921
277,Product_277,furniture,528153
278,Product_278,groceries,1257665
279,Product_279,groceries,606165
280,Product_280,groceries,1504917
281,Product_281,fashion,1380642
282,Product_282,furniture,638362
283,Product_283,electronics,707409
284,Product_284,utilities,581419
285,Product_285,electronics,660053
286,Product_286,furniture,880395
287,Product_287,utilities,1699748
288,Product_288,furniture,145917
289,Product_289,groceries,830717
290,Product_290,utilities,1368346
291,Product_291,groceries,718168
292,Product_292,electronics,501680
293,Product_293,electronics,991375
294,Product_294,utilities,301342
295,Product_295,utilities,559542
296,Product_296,furniture,1112814
297,Product_297,furniture,21252
298,Product_298,groceries,846196
299,Product_299,utilities,884141
300,Product_300,electronics,1554026
301,Product_301,furniture,335826
302,Product_302,furniture,1390214
303,Product_303,electronics,625605
304,Product_304,furniture,347359
305,Product_305,groceries,1671451
306,Product_306,utilities,26949
307,Product_307,electronics,783185
308,Product_308,utilities,337537
309,Product_309,furniture,1797489
310,Product_310,furniture,682301
311,Product_311,electronics,570222
312,Product_312,groceries,800722
313,Product_313,fashion,1523678
314,Product_314,electronics,1406465
315,Product_315,fashion,496467
316,Product_316,fashion,376600
317,Product_317,groceries,1384133
318,Product_318,fashion,994304
319,Product_319,fashion,1952247
320,Product_320,groceries,1373038
321,Product_321,fashion,270875
322,Product_322,fashion,483389
323,Product_323,fashion,90390
324,Product_324,electronics,727689
325,Product_325,electronics,273490
326,Product_326,electronics,1635952
327,Product_327,groceries,1316516
328,Product_328,furniture,385340
329,Product_329,fashion,453027
330,Product_330,fashion,1576617
331,Product_331,groceries,1386199
332,Product_332,fashion,1285040
333,Product_333,electronics,1811305
334,Product_334,furniture,1579312
335,Product_335,utilities,1874971
336,Product_336,fashion,1385843
337,Product_337,electronics,670199
338,Product_338,utilities,1957476
339,Product_339,furniture,243777
340,Product_340,utilities,879909
341,Product_341,electronics,1869396
342,Product_342,utilities,1074145
343,Product_343,groceries,614124
344,Product_344,utilities,648861
345,Product_345,fashion,449802
346,Product_346,fashion,278090
347,Product_347,groceries,1735951
348,Product_348,electronics,1113578
349,Product_349,fashion,791954
350,Product_350,furniture,681614
351,Product_351,fashion,699574
352,Product_352,fashion,518870
353,Product_353,electronics,1280367
354,Product_354,utilities,222846
355,Product_355,fashion,1730026
